City,Latitude,Longitude
Mumbai,19.0759899,72.8773928
Delhi,28.6517178,77.2219388
Bengaluru,12.9791198,77.5912997
Chennai,13.0836939,80.270186
Hyderabad,17.360589,78.4740613
Pune,18.521428,73.8544541
Ahemdabad,23.0216238,72.5797068
Kolkata,22.5726723,88.3638815
Jaipur,26.9154576,75.8189817
Lucknow,26.8381,80.9346001
Bhopal,23.2584857,77.401989
Nagpur,21.1498134,79.0820556
Indore,22.7203616,75.8681996
Surat,21.1864607,72.8081281
Patna,25.6093239,85.1235252
Kochi,9.931369499,76.2673759
Bhubaneshwar,20.2602964,85.8394521
Chandigarh,30.7334421,76.7797143
Guwahati,26.1805978,91.753943
Srinagar,34.0747444,74.8204443
